time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-03-11T06:23:14.690Z,51.4488,-178.2445,47.76,5.2,mww,,116,0.791,0.99,us,us1000jdg2,2019-03-11T15:32:48.308Z,"48km S of Tanaga Volcano, Alaska",earthquake,9,5.1,0.073,18,reviewed,us,us
2019-03-11T05:35:12.440Z,38.0066,-97.9859,5,2.8,mb_lg,,103,0.708,0.72,us,us1000jdfx,2019-03-11T20:37:06.378Z,"4km WSW of South Hutchinson, Kansas",earthquake,1.5,2,0.057,79,reviewed,us,us
2019-03-11T04:35:46.150Z,59.835,-141.6444,12.6,3.4,ml,,,,0.73,ak,ak01937u7mlg,2019-03-11T15:16:10.803Z,"47km SE of Cape Yakataga, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-03-11T04:21:09.910Z,-21.2547,-178.1014,485.06,4.6,mb,,97,5.034,1.16,us,us1000jdf9,2019-03-11T04:45:06.040Z,"91km SE of Ndoi Island, Fiji",earthquake,12.8,6.3,0.037,221,reviewed,us,us
2019-03-11T04:08:13.260Z,19.2506,-66.6053,18,2.89,md,8,304,0.9161,0.31,pr,pr2019070003,2019-03-11T06:45:26.806Z,"86km N of Arecibo, Puerto Rico",earthquake,7.45,14.74,0.11,8,reviewed,pr,pr
2019-03-11T03:33:01.790Z,-21.2622,-68.6846,122.71,4.7,mww,,62,0.742,0.78,us,us1000jdey,2019-03-11T03:52:08.040Z,"135km N of Calama, Chile",earthquake,5.8,5.6,0.08,15,reviewed,us,us
2019-03-11T03:19:32.165Z,69.1657,-144.4332,25.2,2.5,ml,,,,0.78,ak,ak01937tiqgw,2019-03-11T03:30:59.904Z,"112km SSW of Kaktovik, Alaska",earthquake,,4.1,,,automatic,ak,ak
2019-03-11T03:17:54.990Z,-5.9073,130.6056,96.89,4.4,mb,,131,2.173,0.99,us,us1000jder,2019-03-11T03:41:34.040Z,"238km W of Tual, Indonesia",earthquake,11.3,11.5,0.162,11,reviewed,us,us
2019-03-11T03:15:30.700Z,-31.6522,58.1132,10,5.1,mb,,50,10.652,0.59,us,us1000jdes,2019-03-11T03:33:29.040Z,"Southwest Indian Ridge",earthquake,11.2,1.9,0.073,60,reviewed,us,us
2019-03-11T02:47:47.050Z,19.1686,-66.5431,49,2.81,md,13,289,0.6916,0.48,pr,pr2019070002,2019-03-11T05:01:25.863Z,"78km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,2.58,7.17,0.32,12,reviewed,pr,pr
2019-03-11T02:34:06.660Z,19.2468,-66.5703,27,3.16,md,13,293,0.7708,0.45,pr,pr2019070000,2019-03-11T03:01:24.040Z,"80km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,1.89,22.5,0.42,13,reviewed,pr,pr
2019-03-11T02:31:40.470Z,19.1598,-66.5481,10,2.66,md,12,301,0.683,0.37,pr,pr2019070001,2019-03-11T05:01:06.775Z,"77km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,3.04,4.52,0.25,8,reviewed,pr,pr
2019-03-11T02:26:54.953Z,59.7565,-141.7978,1,2.8,ml,,,,0.73,ak,ak01937syusm,2019-03-11T02:58:59.040Z,"49km SE of Cape Yakataga, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-03-11T02:20:16.097Z,59.8628,-141.6952,21.6,3.3,ml,,,,0.75,ak,ak01937sxh7c,2019-03-11T03:34:21.452Z,"47km SE of Cape Yakataga, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-03-11T01:35:36.649Z,59.6929,-141.8414,0,2.5,ml,,,,0.73,ak,ak01937sfb28,2019-03-11T02:55:20.040Z,"55km ESE of Cape Yakataga, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-03-11T01:20:14.669Z,61.5819,-141.2117,0,2.6,ml,,,,0.75,ak,ak01937sc1lj,2019-03-11T02:47:27.040Z,"171km E of Chitina, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-03-11T01:14:28.460Z,11.7619,93.6723,111.16,4.5,mb,,83,0.915,0.77,us,us1000jddw,2019-03-11T01:33:58.040Z,"101km E of Port Blair, India",earthquake,5.6,6.5,0.09,36,reviewed,us,us
2019-03-11T00:26:52.611Z,59.6602,-141.8527,0,2.5,ml,,,,0.91,ak,ak01937rrz8t,2019-03-11T04:37:25.040Z,"55km SE of Cape Yakataga, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-03-11T00:21:10.067Z,59.8334,-141.619,11.3,2.5,ml,,,,0.85,ak,ak01937rqp69,2019-03-11T00:24:16.423Z,"52km ESE of Cape Yakataga, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-03-11T00:12:33.271Z,59.7721,-141.6676,13.3,3.1,ml,,,,1.04,ak,ak01937roxpf,2019-03-11T00:17:01.537Z,"53km SE of Cape Yakataga, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-03-11T00:11:37.130Z,36.3627,-98.1558,5,2.5,mb_lg,,61,0.198,0.31,us,us1000jddc,2019-03-11T08:14:12.164Z,"22km SSE of Helena, Oklahoma",earthquake,1,1.7,0.106,23,reviewed,us,us
2019-03-11T00:11:09.381Z,59.8536,-141.6296,15.4,3.2,ml,,,,0.88,ak,ak01937roo5l,2019-03-11T00:20:54.858Z,"50km ESE of Cape Yakataga, Alaska",earthquake,,0.2,,,automatic,ak,ak
